Id,SalePrice
2658,155692.15892246796
2718,176359.09438644818
2414,214813.3514681321
1989,112011.31249342972
625,183027.4773651465
333,95839.1367270694
1327,111020.0843962539
858,155324.13863449235
95,166601.69133313614
1568,184749.47403099813
2482,157333.08287776748
1364,129797.1966047067
2584,145984.40337328022
818,312980.2930300875
2673,162711.6049433991
2089,118887.74270234244
1297,161942.07686526878
790,117584.20162994073
2616,198849.30246698947
720,199223.15592467782
222,156213.73685831306
557,133712.86354381684
1148,186604.42421026612
2766,175612.92458067823
534,192262.7466802174
1452,124666.95379633066
630,120638.81341911599
2648,110995.66016166566
125,152789.00136695147
1904,59532.16264982128
1670,112219.56798311933
756,99722.59662511772
717,198389.08631297766
1032,154636.9647199963
852,230803.7166771563
1731,174060.71659394086
2639,116029.13549802123
2071,82282.50766191541
1267,109258.77653030693
1851,189213.2263319364
567,148239.48512283005
2439,212345.96258493283
1898,149808.84583946964
647,160327.9492340521
2256,228899.8681128548
979,103382.31378557907
1444,226099.48078246356
2485,116857.46112327745
157,133207.8751767626
88,128793.66036209546
2003,107513.66718826
186,184139.72722502923
1425,260541.76235165953
2695,127093.88687130272
738,99191.9471523599
395,165948.85269720174
1353,151747.19023327716
1878,139757.7806986981
390,172351.21166605252
1456,236530.67140014906
1103,305084.31090242
1387,114559.39599302366
2070,160064.1659229569
1199,174748.19146652968
2479,167508.40580285926
501,309136.3242347708
2362,90606.16926719295
1718,187427.12718725082
2188,86761.77376671057
1483,145602.5344299437
2557,86870.76869540136
437,355144.77557992743
2224,214754.545505004
1628,162911.48854887456
397,139633.62742361642
587,204931.65983937838
2182,485733.07452094834
971,125155.46307686249
2611,151042.04736779217
1887,89102.77402007114
2399,347941.39532019506
2148,205924.72852060746
304,122230.88690170644
1997,129346.54093996814
2817,115077.00792197476
1431,210086.52075453888
427,302300.41748381243
263,126913.05014253517
598,175841.8105371577
2895,257370.39269139498
687,151294.4102380441
1822,139642.28993918875
2191,104503.352078639
179,120153.10453389616
1009,204357.1307511703
2010,128980.92260513193
1991,141780.01684018117
1411,170539.11349766178
1721,235904.73563376782
1144,187972.9929496633
593,221690.69193142487
575,333719.6585373157
1249,171737.79961929354
1604,122270.80437083641
1064,436027.8769413006
1923,161033.7011885136
1988,111393.8885130148
2325,169204.74116296656
114,211731.7229908568
2700,184136.49911088808
217,144387.98986241058
343,184743.56121049196
386,225175.32495923163
2005,103003.42447537156
2908,138086.726959655
1814,241476.3981753636
2446,528817.5130512712
208,135549.73165540493
1679,114123.91087246122
822,331973.794903247
6,197977.19050732444
1781,382264.2394733362
2397,270664.1445894283
2340,295604.9820893147
1618,182527.07807601002
2843,124246.58277468834
1061,353973.2988807387
2786,123999.67635574362
1935,135202.09338727902
1341,131716.9549389084
521,290869.62421792484
2136,139822.12145312745
996,214730.3936210752
227,140662.17716762517
135,178896.7489881128
1167,158768.00120139192
294,226842.32182187846
1776,203261.39920205442
540,177746.274433226
1717,187425.0169264727
2303,131927.07192901248
116,191855.79651705775
127,136496.22457776527
1371,135355.47576510382
1014,153849.78427765408
1507,96952.50007109613
702,130237.50236537655
750,145603.00570446995
261,151222.84240907058
1559,76929.19275680892
577,213406.43402606135
2812,197041.4400063668
2080,146779.30441287693
1368,115291.6232464996
2376,128193.52451139432
659,106580.477178363
1235,129815.02989536955
332,79628.02514741335
1917,148124.99473600433
2094,255985.4544649252
1460,258322.3419354977
1471,228766.36896186823
1509,120297.60897880509
